WEL92831423A_04-APG_ITIS_H166_2_119_2,lead_glue,rectangle,184,59,223,84
WEL93006413A_01-APG_ITIS_H09_1_157_3,lead_glue,rectangle,189,57,225,93
WEL93006413A_01-APG_ITIS_H09_1_191_1,lead_glue,rectangle,175,67,218,101
WEL93006413A_01-APG_ITIS_H09_1_291_4,lead_glue,rectangle,170,56,218,95
WEL93006413A_01-APG_ITIS_H09_1_317_2,lead_glue,rectangle,177,76,212,100
WEL93006413A_01-APG_ITIS_H09_1_334_3,lead_glue,rectangle,197,70,234,105
WEL93006413A_01-APG_ITIS_H09_1_339_4,lead_glue,rectangle,176,63,206,93
WEL93006413A_01-APG_ITIS_H09_1_355_2,lead_glue,rectangle,175,67,208,101
WEL93006413A_01-APG_ITIS_H09_1_365_2,lead_glue,rectangle,175,68,216,101
WEL93006413A_01-APG_ITIS_H09_1_39_1,lead_glue,rectangle,173,53,215,85
WEL93006413A_01-APG_ITIS_H09_2_354_3,lead_glue,rectangle,178,67,219,100
WEL93006413A_01-APG_ITIS_H09_2_356_2,lead_glue,rectangle,49,53,77,78
WEL93006413A_01-APG_ITIS_H09_2_362_4,lead_glue,rectangle,175,68,215,94
WEL93006413A_01-APG_ITIS_H09_2_367_4,lead_glue,rectangle,172,53,211,88
WEL93006413A_01-APG_ITIS_H09_2_368_4,lead_glue,rectangle,172,72,212,101
WEL93007514A_12-APG_ITIS_H13_2_9_4,lead_glue,rectangle,182,65,211,88
WEL93009413A_03-APG_ITIS_H09_1_296_1,lead_glue,rectangle,196,77,221,101
WEL93026115A_03-APG_ITIS_H09_2_346_4,lead_glue,rectangle,42,70,77,105
WEL930290D6A_12-APG_ITIS_H13_2_196_3,lead_glue,rectangle,37,56,72,92
WEL93032545A_55-APG_ITIS_H52_1_185_4,lead_glue,rectangle,200,63,242,128
WEL930421F7A_25-APG_ITIS_H13_2_240_2,lead_glue,rectangle,53,62,78,90
WEL930421F7A_29-APG_ITIS_H09_2_144_2,lead_glue,rectangle,40,60,72,88
WEL930421F7A_29-APG_ITIS_H09_2_94_4,lead_glue,rectangle,39,60,75,90
WEL93043923A_11-APG_ITIS_H13_2_313_4,lead_glue,rectangle,188,54,210,79
WEL93111165A_09-APG_ITIS_H166_1_150_3,lead_glue,rectangle,122,46,211,95
WEL93230455A_42-APG_ITIS_H13_1_168_1,lead_glue,rectangle,42,60,83,94
WEL93325319A_25-APG_ITIS_H09_2_149_4,lead_glue,rectangle,36,57,84,90
WEL93328514A_10-APG_ITIS_H09_2_213_3,lead_glue,rectangle,30,45,75,93
WEL934032H6A_04-APG_ITIS_H52_2_379_1,lead_glue,rectangle,98,182,138,227
WEL93404755A_10-APG_ITIS_H09_2_366_3,lead_glue,rectangle,36,59,82,95
WEL93424368A_06-APG_ITIS_H53_1_62_4,lead_glue,rectangle,35,62,85,86
WEL93425015A_04-APG_ITIS_H09_2_352_4,lead_glue,rectangle,203,83,232,107
WEL934259D5A_14-APG_ITIS_H09_2_60_2,lead_glue,rectangle,32,76,64,99
WEL93427095A_06-APG_ITIS_H166_2_18_3,lead_glue,rectangle,111,187,155,229
WEL934281D5A_05-APG_ITIS_H54_2_16_2,lead_glue,rectangle,81,164,156,202
WEL934437N2A_44-APG_ITIS_H53_2_96_4,lead_glue,rectangle,164,80,200,110
WEL93502145A_16-APG_ITIS_H166_2_154_2,lead_glue,rectangle,170,79,209,108
WEL935142D5A_28-APG_ITIS_H49_1_324_4,lead_glue,rectangle,172,62,205,88
WEL935142D5A_28-APG_ITIS_H49_2_353_4,lead_glue,rectangle,176,82,199,109
WEL935228H5A_25-APG_ITIS_H166_1_284_3,lead_glue,rectangle,50,99,119,198
WEL93528711A_32-APG_ITIS_H13_2_30_4,lead_glue,rectangle,178,78,212,109
